=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2014SEP04 190000  4.5  972.8  77.0  4.5 4.5 3.7  MW   OFF  OFF  -72.56 -74.95  UNIFRM   NA    0.0   21.07  110.69  FCST   GOES15 36.9 
2014SEP04 193000  4.5  972.8  77.0  4.5 4.5 3.7  MW   OFF  OFF  -68.86 -74.03  UNIFRM   NA    0.0   21.11  110.73  FCST   GOES15 36.9 
2014SEP04 203000  4.5  972.7  77.0  4.5 4.5 3.7  MW   ON  OFF  -75.06 -74.41  UNIFRM   NA    0.0   21.20  110.81  FCST   GOES15 36.9 MWinit1=4.04.44.5
2014SEP04 210000  4.5  973.7  77.0  4.5 4.5 3.6  MW   ON  OFF  -72.56 -74.29  UNIFRM   NA    0.0   21.20  110.80  FCST   GOES15 36.9 MWinit1=3.94.34.5
2014SEP04 213000  4.5  973.7  77.0  4.5 4.5 4.1  MW   ON  OFF  -69.76 -73.46  EMBC     NA    0.0   21.25  110.84  FCST   GOES15 36.9 MWinit1=4.24.24.5
2014SEP04 220000  4.5  973.7  77.0  4.5 4.5 3.6  MW   ON  FLG  -71.16 -73.45  UNIFRM   NA    0.0   21.29  110.87  FCST   GOES15 36.9 MWinit1=3.84.14.5
2014SEP04 223000  4.5  973.7  77.0  4.5 4.5 3.6  MW   ON  FLG  -77.16 -74.11  UNIFRM   NA    0.0   21.34  110.91  FCST   GOES15 36.9 MWinit1=3.84.04.5
2014SEP04 230000  4.5  973.6  77.0  4.5 4.5 3.6  MW   ON  FLG  -71.66 -73.38  UNIFRM   NA    0.0   21.39  110.95  FCST   GOES15 36.9 MWinit1=3.83.94.5
2014SEP04 233000  4.5  973.6  77.0  4.5 4.5 3.6  MW   ON  FLG  -60.06 -72.47  UNIFRM   NA    0.0   21.43  110.98  FCST   GOES15 36.9 MWinit1=3.83.94.5
2014SEP05 000000  4.5  973.6  77.0  4.5 4.5 3.6  MW   ON  FLG  -80.46 -72.47  UNIFRM   NA    0.0   21.48  111.02  FCST   GOES15 36.9 MWinit1=3.83.84.5
2014SEP05 003000  4.5  973.6  77.0  4.5 4.5 3.7  MW   ON  FLG  -81.06 -74.49  UNIFRM   NA    0.0   21.52  111.06  FCST   GOES15 36.9 MWinit1=3.83.84.5
2014SEP05 010000  4.5  971.5  77.0  4.5 4.5 3.7  MW   ON  FLG  -78.26 -76.93  UNIFRM   NA    0.0   21.57  111.10  FCST   GOES15 36.9 MWinit1=3.83.84.5
2014SEP05 013000  4.5  971.5  77.0  4.5 4.5 3.7  MW   ON  FLG  -80.46 -77.65  UNIFRM   NA    1.8   21.61  111.14  FCST   GOES15 36.9 MWinit1=3.83.84.5
2014SEP05 020000  4.5  971.5  77.0  4.5 4.5 3.7  MW   ON  OFF  -78.76 -77.91  UNIFRM   NA    1.8   21.66  111.18  FCST   GOES15 36.9 MWinit1=3.83.84.4
2014SEP05 023000  4.5  971.5  77.0  4.5 4.5 3.7  MW   ON  OFF  -81.06 -77.23  UNIFRM   NA    1.8   21.70  111.22  FCST   GOES15 36.9 MWinit1=3.83.84.4
2014SEP05 030000  4.5  971.3  77.0  4.5 4.5 3.9  MW   ON  OFF  -80.46 -81.26  UNIFRM   NA    1.8   22.00  111.10  FCST   GOES15 37.2 MWinit1=3.93.84.3
2014SEP05 033000  4.5  971.3  77.0  4.5 4.5 4.0  MW   ON  OFF  -80.46 -81.71  EMBC     NA    0.0   22.05  111.13  FCST   GOES15 37.3 MWinit1=4.13.84.1
2014SEP05 040000  4.5  971.3  77.0  4.5 4.5 3.9  MW   ON  OFF  -77.16 -81.71  UNIFRM   NA    0.0   22.10  111.16  FCST   GOES15 37.3 MWinit1=4.03.94.1
2014SEP05 043000  4.5  971.3  77.0  4.5 4.5 3.9  MW   ON  OFF  -79.96 -81.52  UNIFRM   NA    0.0   22.15  111.19  FCST   GOES15 37.3 MWinit1=4.03.94.0
2014SEP05 050000  4.5  971.2  77.0  4.5 4.5 3.9  MW   ON  OFF  -79.96 -81.42  UNIFRM   NA    0.0   22.20  111.22  FCST   GOES15 37.3 MWinit1=3.93.93.9
2014SEP05 053000  4.5  971.2  77.0  4.5 4.5 3.9  MW  OFF  OFF  -80.46 -81.24  UNIFRM   NA    0.0   22.26  111.25  FCST   GOES15 37.3 MWinit1=3.93.93.9
2014SEP05 060000  4.5  971.2  77.0  4.5 4.5 3.9  MW  OFF  OFF  -79.36 -81.16  UNIFRM   NA    0.0   22.31  111.29  FCST   GOES15 37.3 MWinit1=3.93.93.9
2014SEP05 063000  4.5  971.2  77.0  4.5 4.5 3.8  MW  OFF  OFF  -81.06 -80.74  UNIFRM   NA    0.0   22.36  111.33  FCST   GOES15 37.3 MWinit1=3.93.93.9
2014SEP05 070000  4.5  971.1  77.0  4.5 4.5 3.8  MW  OFF  OFF  -82.86 -81.04  UNIFRM   NA    0.0   22.41  111.37  FCST   GOES15 37.3 MWinit1=3.93.93.9
2014SEP05 073000  4.5  971.1  77.0  4.5 4.5 3.8  MW  OFF  OFF  -82.26 -81.45  UNIFRM   NA    0.0   22.46  111.41  FCST   GOES15 37.3 MWinit1=3.93.93.9
2014SEP05 080000  4.5  971.1  77.0  4.5 4.5 3.8  MW  OFF  OFF  -81.66 -81.10  UNIFRM   NA    0.0   22.51  111.45  FCST   GOES15 37.3 MWinit1=3.93.93.9
2014SEP05 090000  4.5  971.1  77.0  4.5 4.5 3.8  MW     OFF  OFF  -80.46 -81.03  UNIFRM   NA    0.3   22.50  111.40  FCST   GOES15 37.4 
2014SEP05 093000  4.5  971.1  77.0  4.5 4.5 3.8  MW      ON  OFF  -78.76 -80.52  UNIFRM   NA    0.3   22.55  111.44  FCST   GOES15 37.4 
2014SEP05 100000  4.5  971.0  77.0  4.5 4.5 4.3  MW     OFF  OFF  -75.56 -80.64  EMBC     NA    0.3   22.60  111.48  FCST   GOES15 37.4 MWinit3=4.54.54.5
2014SEP05 103000  4.5  971.0  77.0  4.5 4.5 4.4  MW     OFF  OFF  -75.56 -80.68  EMBC     NA    0.3   22.65  111.52  FCST   GOES15 37.4 MWinit3=4.54.54.5
2014SEP05 110000  4.6  969.0  79.6  4.6 4.6 3.9  MW     OFF  OFF  -73.06 -80.83  UNIFRM   NA    0.3   22.85  111.72  SPRL   GOES15 37.4 MWinit3=4.54.54.5
2014SEP05 113000  4.6  969.1  79.6  4.6 4.6 3.9  MW     OFF  OFF  -75.56 -80.76  UNIFRM   NA    0.3   22.76  111.60  FCST   GOES15 37.4 MWinit3=4.54.54.5
