=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015AUG31 234500  4.8  975.8  84.8  4.3 4.0 3.8  0.5Thour  ON  FLG  -57.98 -51.88  UNIFRM   NA   NA    17.51   24.98  FCST     MSG3 35.1 
2015SEP01 001500  4.8  975.7  84.8  4.2 4.0 3.6  0.7T6hr   ON  FLG  -42.66 -48.85  UNIFRM   NA   NA    17.56   25.06  FCST     MSG3 35.2 
2015SEP01 004500  4.8  975.7  84.8  4.1 4.4 4.3  none   ON  FLG  -12.89 -46.26  EYE     23   NA    17.62   25.13  FCST     MSG3 35.3 
2015SEP01 011500  4.8  975.7  84.8  4.1 4.1 4.1  none   ON  FLG  -10.37 -42.77  EYE     27   NA    17.68   25.20  FCST     MSG3 35.4 
2015SEP01 014500  4.8  975.6  84.8  4.0 3.7 3.3  1.0T6hr   ON  FLG    2.16 -45.33  SHEAR    NA   NA    17.78   25.01  SPRL     MSG3 35.3 
2015SEP01 021500  4.8  975.6  84.8  4.0 3.8 3.4  1.0T6hr   ON  FLG    5.19 -37.81  SHEAR    NA   NA    17.79   25.34  FCST     MSG3 35.6 
2015SEP01 024500  4.7  977.5  82.2  3.9 3.8 3.4  1.0T6hr   ON  FLG    3.99 -43.00  SHEAR    NA   NA    17.87   25.17  FCST     MSG3 35.5 
2015SEP01 031500  4.7  977.5  82.2  3.9 4.0 3.0  0.7T6hr   ON  FLG  -63.84 -44.69  UNIFRM   NA   NA    17.93   25.23  FCST     MSG3 35.6 
2015SEP01 034500  4.6  979.4  79.6  3.9 3.9 3.0  0.7T6hr   ON  OFF  -68.19 -47.86  UNIFRM   NA   NA    17.98   25.28  FCST     MSG3 35.7 
2015SEP01 041500  4.5  981.3  77.0  3.8 3.9 3.1  0.7T6hr   ON  OFF  -65.97 -51.29  UNIFRM   NA   NA    18.03   25.35  FCST     MSG3 35.8 
2015SEP01 044500  4.5  981.2  77.0  3.8 3.8 3.2  0.7T6hr   ON  OFF  -64.26 -53.82  UNIFRM   NA   NA    18.08   25.41  FCST     MSG3 35.9 
2015SEP01 051500  4.4  982.9  74.6  3.8 3.7 3.4  0.7T6hr   ON  OFF  -63.43 -56.01  UNIFRM   NA   NA    18.12   25.48  FCST     MSG3 36.0 
2015SEP01 054500  4.2  986.3  69.8  3.8 3.6 3.6  none   ON  OFF  -65.97 -57.03  UNIFRM   NA   NA    18.16   25.56  FCST     MSG3 36.1 
2015SEP01 061500  4.2  986.3  69.8  3.8 3.7 3.6  none   ON  OFF  -64.68 -57.32  UNIFRM   NA   NA    18.20   25.63  FCST     MSG3 36.1 
2015SEP01 064500  4.1  985.9  67.4  3.7 3.7 3.7  none   ON  OFF  -62.61 -57.50  UNIFRM   NA   NA    18.24   25.71  FCST     MSG3 36.2 
2015SEP01 071500  4.0  987.5  65.0  3.7 3.7 3.7  none   ON  OFF  -61.41 -57.13  UNIFRM   NA   NA    18.28   25.79  FCST     MSG3 36.3 
2015SEP01 074500  4.0  987.5  65.0  3.7 3.8 3.7  none   ON  OFF  -62.21 -57.13  UNIFRM   NA   NA    18.32   25.87  FCST     MSG3 36.4 
2015SEP01 081500  4.0  987.5  65.0  3.7 3.8 3.7  none   ON  OFF  -65.54 -55.98  UNIFRM   NA   NA    18.35   25.96  FCST     MSG3 36.5 
2015SEP01 084500  3.9  989.0  63.0  3.6 3.2 3.1  0.7T6hr   ON  OFF  -60.63 -49.65  UNIFRM   NA   NA    17.98   26.07  FCST     MSG3 36.4 
2015SEP01 091500  3.9  989.0  63.0  3.5 3.2 3.1  none   ON  FLG  -62.61 -48.02  UNIFRM   NA   NA    18.02   26.13  FCST     MSG3 36.5 
2015SEP01 094500  3.9  989.0  63.0  3.5 3.2 3.1  0.7T6hr   ON  FLG  -57.61 -46.54  UNIFRM   NA   NA    18.06   26.20  FCST     MSG3 36.6 
2015SEP01 101500  3.8  990.3  61.0  3.4 3.1 2.9  0.7T6hr   ON  FLG  -52.72 -45.29  UNIFRM   NA   NA    18.10   26.27  FCST     MSG3 36.7 
2015SEP01 104500  3.8  990.3  61.0  3.3 3.1 2.9  0.7T6hr   ON  FLG  -40.74 -44.89  UNIFRM   NA   NA    18.14   26.34  FCST     MSG3 36.8 
2015SEP01 111500  3.8  990.3  61.0  3.2 3.4 3.4  none   ON  FLG  -35.04 -44.70  SHEAR    NA   NA    18.18   26.41  FCST     MSG3 36.8 
2015SEP01 114500  3.8  990.3  61.0  3.2 3.4 3.4  none   ON  FLG  -23.87 -41.40  SHEAR    NA   NA    18.23   26.48  FCST     MSG3 36.9 
2015SEP01 121500  3.7  991.6  59.0  3.2 3.1 2.8  0.7T6hr   ON  FLG  -56.52 -36.87  UNIFRM   NA   NA    18.27   26.55  FCST     MSG3 37.0 
2015SEP01 124500  3.7  995.6  59.0  3.1 3.0 2.6  0.7T6hr   ON  FLG  -52.06 -34.20  UNIFRM   NA   NA    18.32   26.63  FCST     MSG3 37.1 
2015SEP01 131500  3.7  995.5  59.0  3.1 3.0 2.6  0.7T6hr   ON  FLG  -45.24 -32.23  UNIFRM   NA   NA    18.36   26.70  FCST     MSG3 37.2 
2015SEP01 134500  3.7  995.5  59.0  3.2 3.4 3.4  none   ON  OFF  -42.11 -32.12  SHEAR    NA   NA    18.41   26.77  FCST     MSG3 37.3 
2015SEP01 141500  3.7  995.5  59.0  3.2 3.4 3.4  none   ON  OFF  -18.78 -31.35  SHEAR    NA   NA    18.45   26.84  FCST     MSG3 37.4 
2015SEP01 144500  3.6  996.9  57.0  3.2 3.2 3.2  none   ON  OFF    2.93 -24.56  SHEAR    NA   NA    18.28   26.97  FCST     MSG3 37.4 
2015SEP01 151500  3.5  998.2  55.0  3.1 2.7 2.5  0.5Thour  ON  OFF    9.71 -24.18  SHEAR    NA   NA    18.32   27.03  FCST     MSG3 37.5 
2015SEP01 154500  3.5  998.2  55.0  3.0 2.7 2.5  0.5Thour  ON  OFF    9.86 -22.94  SHEAR    NA   NA    18.35   27.10  FCST     MSG3 37.6 
2015SEP01 161500  3.4  999.4  53.0  3.0 2.6 2.5  0.5Thour  ON  OFF   10.71 -27.20  SHEAR    NA   NA    18.39   27.17  FCST     MSG3 37.7 
2015SEP01 164500  3.2 1001.9  49.0  3.0 3.1 3.1  none   ON  FLG    9.43 -24.68  SHEAR    NA   NA    18.43   27.24  FCST     MSG3 37.8 
2015SEP01 171500  3.2 1001.9  49.0  2.9 3.2 3.2  none   ON  OFF    8.28 -26.39  SHEAR    NA   NA    18.47   27.32  FCST     MSG3 37.8 
2015SEP01 174500  3.2 1001.9  49.0  2.9 3.3 3.3  none   ON  OFF    6.68 -30.33  SHEAR    NA   NA    18.51   27.39  FCST     MSG3 37.9 
2015SEP01 181500  3.2 1001.9  49.0  2.9 3.3 3.3  none   ON  OFF    7.99 -32.90  SHEAR    NA   NA    18.55   27.46  FCST     MSG3 38.0 
2015SEP01 184500  3.2 1001.9  49.0  3.0 3.4 3.4  none   ON  OFF    0.61 -35.73  SHEAR    NA   NA    18.59   27.53  FCST     MSG3 38.1 
2015SEP01 191500  3.2  999.8  49.0  3.1 3.4 3.4  none   ON  OFF   -4.38 -41.37  SHEAR    NA   NA    18.63   27.60  FCST     MSG3 38.2 
2015SEP01 194500  3.3  998.6  51.0  3.3 3.4 3.4  none  OFF  OFF  -26.01 -46.81  SHEAR    NA   NA    18.66   27.68  FCST     MSG3 38.3 
2015SEP01 201500  3.3  998.5  51.0  3.2 2.8 2.8  none   ON  OFF  -61.41 -52.86  UNIFRM   NA   NA    18.70   27.75  FCST     MSG3 38.4 
2015SEP01 204500  3.3  998.5  51.0  3.3 3.5 3.5  none  OFF  OFF  -63.84 -62.37  UNIFRM   NA   NA    18.78   28.06  FCST     MSG3 38.7 
2015SEP01 211500  3.3  998.5  51.0  3.3 3.7 3.9  0.5Thour OFF  OFF  -60.24 -66.24  UNIFRM   NA   NA    18.82   28.14  FCST     MSG3 38.8 
2015SEP01 214500  3.4  997.2  53.0  3.4 3.7 4.1  0.7T6hr  OFF  OFF  -57.61 -65.57  UNIFRM   NA   NA    18.85   28.22  FCST     MSG3 38.9 
2015SEP01 221500  3.4  997.2  53.0  3.4 3.4 3.4  none  OFF  OFF  -56.17 -64.55  SHEAR    NA   NA    18.89   28.30  FCST     MSG3 39.0 
2015SEP01 224500  3.4  997.2  53.0  3.4 3.4 3.4  none  OFF  OFF  -51.40 -62.74  SHEAR    NA   NA    18.92   28.37  FCST     MSG3 39.1 
2015SEP01 231500  3.4  997.1  53.0  3.4 3.4 3.4  none  OFF  OFF  -49.80 -60.02  SHEAR    NA   NA    18.96   28.45  FCST     MSG3 39.2 
2015SEP01 234500  3.5  995.8  55.0  3.5 3.4 3.4  none  OFF  OFF  -52.06 -55.25  SHEAR    NA   NA    18.99   28.52  FCST     MSG3 39.3 
2015SEP02 001500  3.5  995.8  55.0  3.4 3.4 3.4  none   ON  OFF  -30.03 -50.99  SHEAR    NA   NA    19.02   28.59  FCST     MSG3 39.3 
2015SEP02 004500  3.5  995.8  55.0  3.4 3.4 3.4  none   ON  OFF   -8.97 -46.64  SHEAR    NA   NA    19.06   28.67  FCST     MSG3 39.4 
2015SEP02 011500  3.5  995.8  55.0  3.4 3.4 3.4  none   ON  OFF  -10.02 -41.80  SHEAR    NA   NA    19.09   28.74  FCST     MSG3 39.5 
2015SEP02 014500  3.5  995.8  55.0  3.4 3.4 3.4  none   ON  OFF   -7.24 -38.56  SHEAR    NA   NA    19.13   28.81  FCST     MSG3 39.6 
2015SEP02 021500  3.5  995.8  55.0  3.4 3.4 3.4  none   ON  OFF   -1.45 -31.23  SHEAR    NA   NA    19.16   28.88  FCST     MSG3 39.7 
2015SEP02 024500  3.5  995.7  55.0  3.4 3.4 3.4  none   ON  OFF   -1.13 -29.05  SHEAR    NA   NA    19.38   29.06  FCST     MSG3 40.0 
2015SEP02 031500  3.5  995.6  55.0  3.4 3.4 3.4  none   ON  OFF   -9.14 -25.47  SHEAR    NA   NA    19.42   29.14  FCST     MSG3 40.1 
2015SEP02 034500  3.5  995.6  55.0  3.4 3.4 3.4  none   ON  OFF    1.85 -23.84  SHEAR    NA   NA    19.45   29.21  FCST     MSG3 40.2 
