=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2016NOV23 044500  3.9  990.6  63.0  3.4 3.5 3.5  none   ON  FLG  -72.96 -64.72  UNIFRM   NA    3.2   10.73   79.94  FCST   GOES13 13.8 
2016NOV23 051500  3.8  991.9  61.0  3.4 3.5 3.5  none   ON  OFF  -70.56 -62.16  UNIFRM   NA    3.2   10.74   79.98  FCST   GOES13 13.9 
2016NOV23 054500  3.8  991.9  61.0  3.4 3.5 3.5  none   ON  OFF  -70.56 -61.12  UNIFRM   NA    3.2   10.74   80.02  FCST   GOES13 13.9 
2016NOV23 061500  3.8  991.9  61.0  3.4 3.5 3.5  none   ON  OFF  -69.16 -60.74  UNIFRM   NA    3.2   10.75   80.06  FCST   GOES13 13.9 
2016NOV23 064500  3.8  991.9  61.0  3.5 3.6 3.6  none   ON  OFF  -66.56 -60.41  UNIFRM   NA    3.2   10.75   80.11  FCST   GOES13 13.9 
2016NOV23 071500  3.7  993.2  59.0  3.5 3.7 3.7  none   ON  OFF  -70.06 -59.96  UNIFRM   NA    3.2   10.76   80.15  FCST   GOES13 14.0 
2016NOV23 074500  3.6  994.5  57.0  3.6 3.9 3.9  none   ON  OFF  -67.06 -60.58  UNIFRM   NA    3.2   10.76   80.20  FCST   GOES13 14.0 
2016NOV23 081500  3.6  994.5  57.0  3.6 3.8 3.8  none  OFF  OFF  -64.16 -60.44  UNIFRM   NA    3.2   10.88   80.34  FCST   GOES13 14.2 
2016NOV23 084500  3.7  993.1  59.0  3.7 3.7 3.7  none  OFF  OFF  -61.06 -58.36  UNIFRM   NA    3.2   10.89   80.38  FCST   GOES13 14.2 
2016NOV23 091500  3.7  993.1  59.0  3.6 3.5 3.5  none   ON  OFF  -55.76 -56.51  UNIFRM   NA    3.2   10.91   80.42  FCST   GOES13 14.3 
2016NOV23 094500  3.7  993.1  59.0  3.6 3.2 3.2  none   ON  OFF  -50.36 -54.41  UNIFRM   NA    3.2   10.92   80.46  FCST   GOES13 14.3 
2016NOV23 101500  3.7  993.1  59.0  3.5 3.1 3.0  0.5Thour  ON  OFF  -42.16 -52.59  UNIFRM   NA    3.2   10.94   80.50  FCST   GOES13 14.3 
2016NOV23 104500  3.7  993.1  59.0  3.4 3.1 2.9  0.5Thour  ON  OFF  -37.56 -52.51  CRVBND   NA    3.2   10.95   80.54  FCST   GOES13 14.4 
2016NOV23 111500  3.7  993.1  59.0  3.3 3.0 2.8  0.5Thour  ON  FLG  -51.86 -52.17  CRVBND   NA    3.2   10.96   80.58  FCST   GOES13 14.4 
2016NOV23 114500  3.7  993.1  59.0  3.2 2.9 2.9  none   ON  FLG  -51.26 -54.10  UNIFRM   NA    3.2   10.98   80.63  FCST   GOES13 14.4 
2016NOV23 121500  3.7  993.1  59.0  3.0 3.1 3.1  none   ON  FLG  -54.76 -57.73  UNIFRM   NA    4.4   10.99   80.67  FCST   GOES13 14.5 
2016NOV23 124500  3.7  993.1  59.0  3.1 3.4 3.4  none   ON  FLG  -62.16 -60.50  UNIFRM   NA    4.4   11.00   80.71  FCST   GOES13 14.5 
2016NOV23 131500  3.7  993.1  59.0  3.1 3.5 3.7  0.5Thour  ON  FLG  -66.56 -61.49  UNIFRM   NA    4.4   11.01   80.76  FCST   GOES13 14.5 
2016NOV23 134500  3.7  993.1  59.0  3.2 3.6 3.8  0.5Thour  ON  OFF  -67.46 -61.71  UNIFRM   NA    4.4   11.02   80.80  FCST   GOES13 14.6 
2016NOV23 141500  3.7  993.1  59.0  3.3 3.6 3.8  0.5Thour  ON  OFF  -62.56 -60.07  UNIFRM   NA    4.4   11.08   80.65  FCST   GOES13 14.6 
2016NOV23 144500  3.7  993.0  59.0  3.4 3.7 3.7  none   ON  OFF  -59.56 -59.09  UNIFRM   NA    4.4   11.09   80.68  FCST   GOES13 14.6 
2016NOV23 151500  3.6  994.4  57.0  3.5 3.8 3.8  none   ON  OFF  -57.46 -59.53  UNIFRM   NA    4.4   11.11   80.72  FCST   GOES13 14.6 
2016NOV23 154500  3.6  994.3  57.0  3.6 3.8 3.8  none  OFF  OFF  -53.76 -60.01  UNIFRM   NA    4.4   11.12   80.75  FCST   GOES13 14.6 
2016NOV23 161500  3.6  994.3  57.0  3.6 3.8 3.8  none  OFF  OFF  -47.36 -60.39  UNIFRM   NA    4.4   11.13   80.79  FCST   GOES13 14.7 
2016NOV23 164500  3.7  993.0  59.0  3.7 3.8 3.8  none  OFF  OFF  -48.86 -59.99  UNIFRM   NA    4.4   11.14   80.83  FCST   GOES13 14.7 
2016NOV23 171500  3.7  993.0  59.0  3.7 3.7 3.7  none  OFF  OFF  -46.26 -59.88  UNIFRM   NA    4.4   11.14   80.87  FCST   GOES13 14.7 
2016NOV23 174500  3.7  993.0  59.0  3.7 3.7 3.7  none  OFF  OFF  -41.36 -61.22  UNIFRM   NA    4.4   11.15   80.91  FCST   GOES13 14.8 
2016NOV23 181500  3.7  993.0  59.0  3.7 3.7 3.8  0.7T6hr  OFF  OFF  -56.06 -63.42  UNIFRM   NA    0.0   11.16   80.95  FCST   GOES13 14.8 
2016NOV23 184500  3.7  993.0  59.0  3.7 3.7 3.7  none  OFF  OFF  -62.16 -65.71  UNIFRM   NA    0.0   11.16   81.00  FCST   GOES13 14.8 
2016NOV23 191500  3.7  993.0  59.0  3.7 3.7 3.7  none  OFF  OFF  -64.96 -66.71  UNIFRM   NA    0.0   11.17   81.04  FCST   GOES13 14.9 
2016NOV23 194500  3.7  993.0  59.0  3.7 3.8 3.8  none  OFF  OFF  -65.36 -67.49  UNIFRM   NA    0.0   11.17   81.08  FCST   GOES13 14.9 
2016NOV23 201500  3.7  993.0  59.0  3.7 3.9 3.9  none  OFF  OFF  -68.76 -68.13  UNIFRM   NA    0.0   11.20   81.22  FCST   GOES13 15.0 
2016NOV23 204500  3.8  991.7  61.0  3.8 4.1 4.1  none  OFF  OFF  -64.96 -68.34  UNIFRM   NA    0.0   11.20   81.27  FCST   GOES13 15.0 
2016NOV23 211500  3.8  991.7  61.0  3.8 4.1 4.1  none  OFF  OFF  -74.86 -68.98  UNIFRM   NA    0.0   11.20   81.33  FCST   GOES13 15.1 
2016NOV23 214500  3.9  990.3  63.0  3.9 4.1 4.1  none  OFF  OFF  -76.46 -71.05  UNIFRM   NA    0.0   11.21   81.38  FCST   GOES13 15.1 
2016NOV23 221500  3.9  990.3  63.0  3.9 4.1 4.1  none  OFF  OFF  -76.96 -73.55  UNIFRM   NA    0.0   11.21   81.43  FCST   GOES13 15.1 
2016NOV23 224500  4.0  989.0  65.0  4.0 4.2 4.2  none  OFF  OFF  -76.96 -74.95  UNIFRM   NA   19.8   11.22   81.48  FCST   GOES13 15.2 
2016NOV23 231500  4.1  987.3  67.4  4.1 4.2 4.2  none  OFF  OFF  -77.56 -75.12  UNIFRM   NA   19.8   11.22   81.54  FCST   GOES13 15.2 
2016NOV23 234500  4.1  987.3  67.4  4.1 4.3 4.3  none  OFF  OFF  -79.16 -74.69  UNIFRM   NA   19.8   11.23   81.59  FCST   GOES13 15.2 
2016NOV24 001500  4.1  987.3  67.4  4.1 4.1 4.4  MW  OFF  OFF  -79.16 -74.90  UNIFRM   NA   19.8   11.23   81.65  FCST   GOES13 15.3 MWinit1=4.24.14.1
2016NOV24 004500  4.1  987.3  67.4  4.1 4.1 4.4  MW  OFF  OFF  -76.46 -74.28  UNIFRM   NA   19.8   11.24   81.70  FCST   GOES13 15.3 MWinit1=4.34.24.2
2016NOV24 011500  4.2  985.6  69.8  4.2 4.2 4.4  MW  OFF  OFF  -72.46 -73.01  UNIFRM   NA   19.8   11.25   81.76  FCST   GOES13 15.3 MWinit1=4.34.24.2
2016NOV24 014500  4.2  985.6  69.8  4.2 4.2 4.4  MW  OFF  OFF  -75.96 -71.78  UNIFRM   NA   19.8   11.25   81.81  FCST   GOES13 15.4 MWinit1=4.44.24.2
2016NOV24 021500  4.3  984.0  72.2  4.3 4.3 4.3  MW  OFF  OFF  -75.46 -71.50  UNIFRM   NA   19.8   11.20   82.10  FCST   GOES13 15.5 MWinit1=4.34.24.2
2016NOV24 024500  4.3  984.0  72.2  4.3 4.3 4.3  MW  OFF  OFF  -77.56 -72.41  UNIFRM   NA   19.8   11.20   82.17  FCST   GOES13 15.6 MWinit1=4.34.34.3
2016NOV24 031500  4.3  984.0  72.2  4.3 4.3 4.3  MW  OFF  OFF  -75.46 -73.53  UNIFRM   NA   19.8   11.20   82.23  FCST   GOES13 15.6 MWinit1=4.34.34.3
2016NOV24 034500  4.4  982.3  74.6  4.4 4.4 4.3  MW  OFF  OFF  -74.36 -74.13  UNIFRM   NA   19.8   11.20   82.29  FCST   GOES13 15.6 MWinit1=4.34.34.3
2016NOV24 041500  4.4  982.3  74.6  4.4 4.4 4.2  MW  OFF  OFF  -74.36 -74.34  UNIFRM   NA   19.8   11.20   82.35  FCST   GOES13 15.7 MWinit1=4.24.34.3
2016NOV24 044500  4.5  980.5  77.0  4.5 4.5 4.3  MW   ON  OFF  -74.36 -74.76  UNIFRM   NA   19.8   11.21   82.41  FCST   GOES13 15.7 MWinit1=4.34.24.3
2016NOV24 051500  4.5  980.5  77.0  4.5 4.5 4.6  MW  OFF  OFF  -71.96 -73.83  EMBC     NA   19.8   11.21   82.47  FCST   GOES13 15.8 MWinit1=4.64.34.3
2016NOV24 054500  4.5  980.5  77.0  4.5 4.5 4.3  MW  OFF  OFF  -73.86 -73.91  UNIFRM   NA   19.8   11.21   82.53  FCST   GOES13 15.8 MWinit1=4.34.34.3
2016NOV24 061500  4.6  978.7  79.6  4.6 4.6 4.6  MW  OFF  OFF  -71.46 -73.48  EMBC     NA   19.8   11.21   82.59  FCST   GOES13 15.8 MWinit1=4.64.34.3
