=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015MAY29 133000  3.6  995.7  57.0  3.6 3.7 3.7  none  OFF  OFF  -81.06 -75.27  UNIFRM   NA    4.6   12.40  114.15  SPRL   GOES15 28.2 
2015MAY29 140000  3.6  995.7  57.0  3.6 3.6 3.6  none  OFF  OFF  -81.06 -74.52  UNIFRM   NA    4.6   12.53  114.30  SPRL   GOES15 28.1 
2015MAY29 143000  3.6  995.6  57.0  3.6 3.7 3.6  none  OFF  OFF  -80.46 -75.61  UNIFRM   NA    4.6   12.57  114.35  SPRL   GOES15 28.1 
2015MAY29 150000  3.6  995.6  57.0  3.6 3.7 3.6  none  OFF  OFF  -82.26 -74.04  UNIFRM   NA    4.6   12.57  114.65  SPRL   GOES15 27.8 
2015MAY29 153000  3.6  995.5  57.0  3.6 3.7 3.7  none  OFF  OFF  -81.66 -75.92  UNIFRM   NA    4.4   12.81  114.60  SPRL   GOES15 28.0 
2015MAY29 160000  3.6  995.6  57.0  3.6 3.8 3.8  none  OFF  OFF  -78.76 -75.47  UNIFRM   NA    4.4   12.75  114.65  SPRL   GOES15 27.9 
2015MAY29 163000  3.7  994.2  59.0  3.7 3.8 3.8  none  OFF  OFF  -73.06 -74.41  UNIFRM   NA    4.4   12.79  114.59  SPRL   GOES15 28.0 
2015MAY29 170000  3.7  994.3  59.0  3.7 3.8 3.7  none  OFF  OFF  -71.16 -72.32  UNIFRM   NA    4.4   12.73  114.74  SPRL   GOES15 27.8 
2015MAY29 173000  3.7  994.2  59.0  3.7 3.8 3.7  none  OFF  OFF  -64.66 -71.90  UNIFRM   NA    4.4   12.78  114.68  SPRL   GOES15 27.9 
2015MAY29 180000  3.7  994.3  59.0  3.7 3.7 3.7  none  OFF  OFF  -53.96 -71.68  UNIFRM   NA    4.4   12.62  114.63  SPRL   GOES15 27.8 
2015MAY29 183000  3.7  994.2  59.0  3.7 3.8 3.7  none  OFF  OFF  -54.56 -71.43  UNIFRM   NA    4.4   12.76  114.67  SPRL   GOES15 27.9 
2015MAY29 190000  3.7  994.1  59.0  3.7 3.7 3.6  none  OFF  OFF  -65.96 -73.53  UNIFRM   NA    4.4   13.01  114.82  SPRL   GOES15 27.9 
2015MAY29 193000  3.7  994.2  59.0  3.7 3.7 3.7  none  OFF  OFF  -78.26 -75.10  UNIFRM   NA    4.4   12.75  114.76  SPRL   GOES15 27.8 
2015MAY29 200000  3.7  994.2  59.0  3.7 3.7 3.7  none  OFF  OFF  -78.76 -73.88  UNIFRM   NA    4.4   12.89  114.70  SPRL   GOES15 27.9 
2015MAY29 203000  3.7  994.1  59.0  3.7 3.6 3.6  none  OFF  OFF  -68.86 -72.67  UNIFRM   NA    4.4   12.99  115.21  FCST   GOES15 27.5 
