=====  ADT-Version 8.1.4 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2015JUL31 203000  4.1  986.6  67.4  4.1 4.1 3.5  MW   ON  OFF  -62.76 -65.92  UNIFRM   NA   NA    12.80  134.04  FCST   GOES15 15.0 MWinit1=3.94.14.6
2015JUL31 210000  4.1  986.5  67.4  4.1 4.1 3.5  MW   ON  FLG  -66.36 -67.03  UNIFRM   NA   NA    12.83  134.16  FCST   GOES15 15.1 MWinit1=3.83.94.6
2015JUL31 213000  4.1  986.5  67.4  4.1 4.1 3.5  MW   ON  FLG  -69.36 -66.32  UNIFRM   NA   NA    12.86  134.29  FCST   GOES15 15.1 MWinit1=3.63.94.6
2015JUL31 220000  4.1  986.5  67.4  4.1 4.1 3.5  MW   ON  FLG  -69.36 -64.95  UNIFRM   NA   NA    12.89  134.41  FCST   GOES15 15.1 MWinit1=3.63.84.6
2015JUL31 223000  4.2  984.8  69.8  4.2 4.2 3.5  MW   ON  FLG  -63.16 -63.22  UNIFRM   NA   NA    12.92  134.53  FCST   GOES15 15.1 MWinit1=3.63.84.6
2015JUL31 230000  4.2  984.9  69.8  4.2 4.2 4.2  MW   ON  FLG  -66.76 -69.05  EMBC     NA   NA    12.87  135.37  FCST   GOES15 15.1 MWinit1=4.23.84.6
2015JUL31 233000  4.2  984.8  69.8  4.2 4.2 3.7  MW   ON  FLG  -65.46 -68.82  UNIFRM   NA   NA    12.90  135.50  FCST   GOES15 15.1 MWinit1=3.83.74.6
2015AUG01 000000  4.2  985.0  69.8  4.2 4.2 4.2  MW   ON  OFF  -53.96 -69.01  EMBC     NA   NA    12.58  135.69  SPRL   GOES15 14.8 MWinit1=4.23.84.6
2015AUG01 003000  4.2  984.7  69.8  4.2 4.2 3.8  MW   ON  OFF  -75.56 -69.82  UNIFRM   NA   NA    13.12  135.61  SPRL   GOES15 15.4 MWinit1=3.83.84.6
2015AUG01 010000  4.2  984.8  69.8  4.2 4.2 3.6  MW   ON  OFF  -76.06 -67.28  UNIFRM   NA   NA    13.05  135.54  SPRL   GOES15 15.3 MWinit1=3.93.84.6
2015AUG01 013000  4.2  984.9  69.8  4.2 4.2 3.5  MW   ON  OFF  -69.76 -67.76  UNIFRM   NA   NA    12.88  135.78  SPRL   GOES15 15.1 MWinit1=3.73.84.4
2015AUG01 020000  4.2  984.8  69.8  4.2 4.2 3.7  MW   ON  OFF  -66.36 -72.06  UNIFRM   NA   NA    13.06  136.16  FCST   GOES15 15.4 MWinit1=3.73.84.1
2015AUG01 023000  4.3  983.0  72.2  4.3 4.3 3.7  MW   ON  OFF  -75.06 -73.66  UNIFRM   NA   NA    13.24  136.14  SPRL   GOES15 15.6 MWinit1=3.83.84.1
2015AUG01 030000  4.3  983.0  72.2  4.3 4.3 3.7  MW   ON  OFF  -77.16 -74.22  UNIFRM   NA    4.6   13.17  136.17  SPRL   GOES15 15.5 MWinit1=3.73.83.9
2015AUG01 033000  4.3  983.0  72.2  4.3 4.3 3.7  MW   ON  OFF  -75.56 -75.16  UNIFRM   NA    4.6   13.30  136.30  SPRL   GOES15 15.7 MWinit1=3.73.73.8
2015AUG01 040000  4.3  981.0  72.2  4.3 4.3 3.7  MW   ON  OFF  -76.06 -74.85  UNIFRM   NA    4.6   13.25  136.45  SPRL   GOES15 15.6 MWinit1=3.73.73.8
2015AUG01 043000  4.3  981.0  72.2  4.3 4.3 3.7  MW     OFF  OFF  -78.26 -75.54  UNIFRM   NA   37.3   13.28  136.68  SPRL   GOES15 15.7 
2015AUG01 050000  4.3  981.0  72.2  4.2 4.0 4.0  MW  ON  OFF  -74.06 -75.47  EMBC     NA   37.3   13.27  136.75  FCST   GOES15 15.7 
2015AUG01 053000  4.3  980.9  72.2  4.2 4.0 4.0  none   ON  OFF  -74.06 -74.92  EMBC     NA   37.3   13.35  136.83  SPRL   GOES15 15.8 
2015AUG01 060000  4.3  980.9  72.2  4.1 3.7 3.7  none   ON  OFF  -74.06 -74.57  UNIFRM   NA   37.3   13.34  137.01  FCST   GOES15 15.8 
2015AUG01 063000  4.3  980.9  72.2  4.0 3.8 3.8  none   ON  OFF  -74.56 -74.44  UNIFRM   NA   37.3   13.37  137.13  FCST   GOES15 15.9 
2015AUG01 070000  4.3  980.9  72.2  3.9 3.7 3.7  none   ON  FLG  -75.06 -74.86  UNIFRM   NA   37.3   13.40  137.26  FCST   GOES15 15.9 
2015AUG01 073000  4.3  980.9  72.2  3.8 3.7 3.7  none   ON  FLG  -75.56 -75.28  UNIFRM   NA   37.3   13.43  137.39  FCST   GOES15 16.0 
2015AUG01 080000  4.3  980.9  72.2  3.7 3.7 3.7  none   ON  FLG  -77.66 -76.07  UNIFRM   NA   37.3   13.47  137.51  FCST   GOES15 16.0 
2015AUG01 083000  4.3  980.9  72.2  3.7 3.8 3.8  none   ON  FLG  -78.26 -76.06  UNIFRM   NA   37.3   13.50  137.64  FCST   GOES15 16.1 
2015AUG01 090000  4.3  980.9  72.2  3.7 3.8 3.8  none   ON  FLG  -76.06 -75.45  UNIFRM   NA   37.3   13.53  137.76  FCST   GOES15 16.2 
2015AUG01 093000  4.3  980.8  72.2  3.8 4.1 4.1  none   ON  OFF  -72.06 -74.62  EMBC     NA   37.3   13.56  137.89  FCST   GOES15 16.2 
2015AUG01 100000  4.3  981.1  72.2  3.7 3.6 3.5  0.7T6hr   ON  OFF  -67.16 -69.27  UNIFRM   NA   37.3   13.05  137.65  SPRL   GOES15 15.6 
2015AUG01 103000  4.3  980.9  72.2  3.7 3.7 3.7  none   ON  OFF  -60.06 -73.37  UNIFRM   NA   37.3   13.52  137.82  FCST   GOES15 16.2 
2015AUG01 110000  4.2  982.5  69.8  3.7 3.7 3.7  none   ON  OFF  -60.06 -72.96  UNIFRM   NA   37.3   13.55  137.94  FCST   GOES15 16.2 
2015AUG01 113000  4.2  982.5  69.8  3.8 3.9 3.9  none   ON  OFF  -67.56 -72.75  EMBC     NA   37.3   13.57  138.06  FCST   GOES15 16.3 
2015AUG01 120000  4.1  984.2  67.4  3.7 3.7 3.7  none   ON  OFF  -73.06 -73.32  UNIFRM   NA   37.3   13.60  138.18  FCST   GOES15 16.4 
2015AUG01 123000  4.0  985.8  65.0  3.7 3.7 3.7  none   ON  OFF  -77.16 -74.11  UNIFRM   NA   37.3   13.62  138.30  FCST   GOES15 16.4 
2015AUG01 130000  3.8  988.5  61.0  3.7 3.8 3.8  none   ON  OFF  -77.66 -74.72  UNIFRM   NA   37.3   13.65  138.42  FCST   GOES15 16.5 
2015AUG01 133000  3.8  988.5  61.0  3.7 3.8 3.8  none   ON  OFF  -77.16 -75.08  UNIFRM   NA   37.3   13.68  138.54  FCST   GOES15 16.5 
2015AUG01 140000  3.8  988.5  61.0  3.7 3.8 3.8  none   ON  OFF  -75.06 -75.39  UNIFRM   NA   37.3   13.70  138.66  FCST   GOES15 16.6 
2015AUG01 143000  3.8  988.4  61.0  3.7 3.8 3.8  none   ON  OFF  -73.56 -75.37  UNIFRM   NA   37.3   13.72  138.78  FCST   GOES15 16.7 
2015AUG01 150000  3.8  988.7  61.0  3.7 3.7 3.7  none   ON  OFF  -75.56 -75.59  UNIFRM   NA   37.3   13.21  138.61  SPRL   GOES15 16.0 
2015AUG01 153000  3.8  988.7  61.0  3.7 3.8 3.8  none   ON  OFF  -75.56 -75.47  UNIFRM   NA    2.4   13.23  138.62  SPRL   GOES15 16.1 
2015AUG01 160000  3.8  988.6  61.0  3.7 3.8 3.8  none   ON  OFF  -76.06 -75.23  UNIFRM   NA    2.4   13.35  138.63  SPRL   GOES15 16.2 
2015AUG01 163000  3.8  988.5  61.0  3.7 3.6 3.6  none   ON  OFF  -71.66 -73.12  UNIFRM   NA    2.4   13.62  139.41  FCST   GOES15 16.8 
2015AUG01 170000  3.8  988.5  61.0  3.7 3.8 3.8  none   ON  OFF  -74.56 -74.01  UNIFRM   NA    0.0   13.69  138.85  SPRL   GOES15 16.7 
2015AUG01 173000  3.7  989.8  59.0  3.7 3.8 3.8  none   ON  OFF  -75.06 -74.33  UNIFRM   NA    0.0   13.71  138.97  SPRL   GOES15 16.7 
2015AUG01 180000  3.7  989.8  59.0  3.7 3.9 3.8  none  OFF  OFF  -75.56 -75.27  UNIFRM   NA    0.0   13.73  139.08  SPRL   GOES15 16.8 
2015AUG01 183000  3.7  989.8  59.0  3.7 3.6 3.6  none  OFF  OFF  -74.56 -71.21  UNIFRM   NA    0.0   13.70  139.85  FCST   GOES15 17.0 
2015AUG01 190000  3.7  989.8  59.0  3.7 3.6 3.6  none  OFF  OFF  -75.06 -71.00  UNIFRM   NA    0.0   13.72  139.96  FCST   GOES15 17.1 
2015AUG01 193000  3.7  989.8  59.0  3.7 3.6 3.6  none  OFF  OFF  -75.56 -70.98  UNIFRM   NA    0.0   13.74  140.07  FCST   GOES15 17.1 
2015AUG01 200000  3.7  990.1  59.0  3.7 3.6 3.5  none  OFF  OFF  -59.36 -68.66  UNIFRM   NA    0.0   13.10  139.72  SPRL   GOES15 16.3 
2015AUG01 203000  3.7  989.8  59.0  3.6 3.7 3.7  none   ON  OFF  -73.56 -71.33  UNIFRM   NA    0.0   13.72  140.03  SPRL   GOES15 17.1 
