=====  ADT-Version 8.2.1 =====
                  ----Intensity--- -Tno Values-- ---TnoCI Rules---  -Temperature-                    
           Time         MSLPVmax   Fnl Adj Ini   Cnstrnt Wkng Rpd    Cntr   Mean   Scene  EstRMW   MW   Storm Location  Fix
   Date    (UTC)   CI  (CKZ)(kts)  Tno Raw Raw    Limit  Flag Wkng  Region  Cloud  Type    (km)  Score   Lat     Lon    Mthd    Sat   VZA  Comments
2020JUL31 070000  3.2  993.5  49.0  3.2 3.3 3.3  none  OFF  OFF  -56.16 -58.60  UNIFRM   NA    NA   20.83   72.87  FCST   GOES16 24.5 
2020JUL31 073000  3.2  993.5  49.0  3.2 3.2 3.2  none  OFF  OFF  -51.16 -55.75  UNIFRM   NA    NA   20.70   73.04  FCST   GOES16 24.3 
2020JUL31 080000  3.2  993.5  49.0  3.2 3.2 3.2  none  OFF  OFF  -40.16 -55.78  UNIFRM   NA    NA   20.76   73.10  FCST   GOES16 24.4 
2020JUL31 083000  3.2  993.5  49.0  3.2 3.1 3.1  none  OFF  OFF  -57.16 -52.96  CRVBND   NA    NA   20.83   73.20  FCST   GOES16 24.4 
2020JUL31 090000  3.2  993.4  49.0  3.2 3.3 3.3  none  OFF  OFF  -60.16 -49.70  CRVBND   NA    NA   20.90   73.30  FCST   GOES16 24.5 
2020JUL31 110000  3.2  993.3  49.0  3.0 2.6 2.6  none   ON  FLG  -60.16 -41.07  RCDO   NA    NA   21.20   73.69  FCST   GOES16 24.8 
2020JUL31 113000  3.2  993.3  49.0  2.8 2.5 2.5  none   ON  FLG  -52.16 -39.87  RCDO   NA    NA   21.27   73.79  FCST   GOES16 24.9 
2020JUL31 120000  3.2  993.3  49.0  3.2 3.2 2.5  MW   ON  FLG  -46.16 -39.80  RCDO   NA    NA   21.35   73.88  FCST   GOES16 25.0 MWinit1=2.52.73.2
2020JUL31 123000  3.2  993.2  49.0  3.2 3.2 2.9  MW   ON  FLG  -38.16 -40.76  CRVBND   NA    NA   21.43   73.98  FCST   GOES16 25.1 MWinit1=2.92.63.2
2020JUL31 130000  3.3  992.1  51.0  3.3 3.3 3.1  MW   ON  FLG  -33.16 -40.85  CRVBND   NA    NA   21.51   74.07  FCST   GOES16 25.2 MWinit1=3.12.73.2
2020JUL31 133000  3.3  992.1  51.0  3.3 3.3 2.9  MW   ON  OFF  -35.16 -38.81  CRVBND   NA    NA   21.50   74.25  FCST   GOES16 25.1 MWinit1=2.92.73.2
2020JUL31 140000  3.4  990.9  53.0  3.4 3.4 3.1  MW   ON  OFF  -65.16 -39.65  CRVBND   NA    NA   21.56   74.33  FCST   GOES16 25.2 MWinit1=3.12.83.2
2020JUL31 143000  3.4  990.9  53.0  3.4 3.4 2.5  MW   ON  OFF  -68.16 -42.40  UNIFRM   NA    NA   21.63   74.41  FCST   GOES16 25.3 MWinit1=2.52.83.2
2020JUL31 150000  3.5  989.6  55.0  3.5 3.5 3.0  MW   ON  OFF  -69.16 -47.94  RCDO   NA    NA   21.70   74.50  FCST   GOES16 25.4 MWinit1=3.02.83.2
2020JUL31 153000  3.5  989.6  55.0  3.5 3.5 3.0  MW   ON  OFF  -69.16 -53.25  UNIFRM   NA    NA   21.77   74.59  FCST   GOES16 25.5 MWinit1=3.02.93.0
2020JUL31 160000  3.6  988.4  57.0  3.6 3.6 3.1  MW   ON  OFF  -67.16 -56.14  UNIFRM   NA    NA   21.84   74.67  FCST   GOES16 25.5 MWinit1=3.12.93.0
2020JUL31 163000  3.6  988.3  57.0  3.6 3.6 3.3  MW   ON  OFF  -68.16 -58.39  UNIFRM   NA    NA   21.91   74.76  FCST   GOES16 25.6 MWinit1=3.32.93.0
2020JUL31 170000  3.7  987.1  59.0  3.7 3.7 3.4  MW  OFF  OFF  -69.16 -60.69  UNIFRM   NA    NA   21.98   74.85  FCST   GOES16 25.7 MWinit1=3.43.03.0
